,close,date,time
2020-10-09 09:35:00,223.28,2020-10-09,0935
2020-10-09 09:40:00,222.31,2020-10-09,0940
2020-10-09 09:45:00,222.56,2020-10-09,0945
2020-10-09 09:50:00,224.3,2020-10-09,0950
2020-10-09 09:55:00,223.89,2020-10-09,0955
2020-10-09 10:00:00,227.0,2020-10-09,1000
2020-10-09 10:05:00,226.6,2020-10-09,1005
2020-10-09 10:10:00,225.88,2020-10-09,1010
2020-10-09 10:15:00,226.37,2020-10-09,1015
2020-10-09 10:20:00,225.32,2020-10-09,1020
2020-10-09 10:25:00,225.06,2020-10-09,1025
2020-10-09 10:30:00,225.38,2020-10-09,1030
2020-10-09 10:35:00,225.79,2020-10-09,1035
2020-10-09 10:40:00,226.26,2020-10-09,1040
2020-10-09 10:45:00,225.21,2020-10-09,1045
2020-10-09 10:50:00,224.8,2020-10-09,1050
2020-10-09 10:55:00,224.72,2020-10-09,1055
2020-10-09 11:00:00,224.95,2020-10-09,1100
2020-10-09 11:05:00,224.37,2020-10-09,1105
2020-10-09 11:10:00,224.58,2020-10-09,1110
2020-10-09 11:15:00,225.87,2020-10-09,1115
2020-10-09 11:20:00,226.24,2020-10-09,1120
2020-10-09 11:25:00,226.25,2020-10-09,1125
2020-10-09 11:30:00,226.7,2020-10-09,1130
2020-10-09 13:05:00,225.6,2020-10-09,1305
2020-10-09 13:10:00,225.38,2020-10-09,1310
2020-10-09 13:15:00,224.82,2020-10-09,1315
2020-10-09 13:20:00,224.94,2020-10-09,1320
2020-10-09 13:25:00,224.33,2020-10-09,1325
2020-10-09 13:30:00,224.74,2020-10-09,1330
2020-10-09 13:35:00,224.1,2020-10-09,1335
2020-10-09 13:40:00,223.63,2020-10-09,1340
2020-10-09 13:45:00,223.86,2020-10-09,1345
2020-10-09 13:50:00,224.08,2020-10-09,1350
2020-10-09 13:55:00,224.11,2020-10-09,1355
2020-10-09 14:00:00,224.99,2020-10-09,1400
2020-10-09 14:05:00,225.2,2020-10-09,1405
2020-10-09 14:10:00,225.85,2020-10-09,1410
2020-10-09 14:15:00,225.28,2020-10-09,1415
2020-10-09 14:20:00,225.35,2020-10-09,1420
2020-10-09 14:25:00,226.0,2020-10-09,1425
2020-10-09 14:30:00,225.96,2020-10-09,1430
2020-10-09 14:35:00,225.29,2020-10-09,1435
2020-10-09 14:40:00,225.11,2020-10-09,1440
2020-10-09 14:45:00,224.67,2020-10-09,1445
2020-10-09 14:50:00,224.97,2020-10-09,1450
2020-10-09 14:55:00,224.89,2020-10-09,1455
2020-10-09 15:00:00,224.87,2020-10-09,1500
2020-10-12 09:35:00,233.59,2020-10-12,0935
2020-10-12 09:40:00,233.1,2020-10-12,0940
2020-10-12 09:45:00,234.59,2020-10-12,0945
2020-10-12 09:50:00,233.44,2020-10-12,0950
2020-10-12 09:55:00,231.72,2020-10-12,0955
2020-10-12 10:00:00,231.42,2020-10-12,1000
2020-10-12 10:05:00,228.1,2020-10-12,1005
2020-10-12 10:10:00,228.51,2020-10-12,1010
2020-10-12 10:15:00,229.59,2020-10-12,1015
2020-10-12 10:20:00,229.0,2020-10-12,1020
2020-10-12 10:25:00,229.5,2020-10-12,1025
2020-10-12 10:30:00,230.5,2020-10-12,1030
2020-10-12 10:35:00,230.95,2020-10-12,1035
2020-10-12 10:40:00,230.0,2020-10-12,1040
2020-10-12 10:45:00,231.06,2020-10-12,1045
2020-10-12 10:50:00,230.92,2020-10-12,1050
2020-10-12 10:55:00,231.18,2020-10-12,1055
2020-10-12 11:00:00,232.0,2020-10-12,1100
2020-10-12 11:05:00,232.06,2020-10-12,1105
2020-10-12 11:10:00,232.31,2020-10-12,1110
2020-10-12 11:15:00,232.89,2020-10-12,1115
2020-10-12 11:20:00,233.05,2020-10-12,1120
2020-10-12 11:25:00,232.65,2020-10-12,1125
2020-10-12 11:30:00,233.1,2020-10-12,1130
2020-10-12 13:05:00,231.7,2020-10-12,1305
2020-10-12 13:10:00,232.73,2020-10-12,1310
2020-10-12 13:15:00,232.73,2020-10-12,1315
2020-10-12 13:20:00,233.4,2020-10-12,1320
2020-10-12 13:25:00,234.0,2020-10-12,1325
2020-10-12 13:30:00,233.01,2020-10-12,1330
2020-10-12 13:35:00,232.45,2020-10-12,1335
2020-10-12 13:40:00,232.37,2020-10-12,1340
2020-10-12 13:45:00,231.93,2020-10-12,1345
2020-10-12 13:50:00,232.33,2020-10-12,1350
2020-10-12 13:55:00,232.99,2020-10-12,1355
2020-10-12 14:00:00,232.43,2020-10-12,1400
2020-10-12 14:05:00,232.82,2020-10-12,1405
2020-10-12 14:10:00,232.73,2020-10-12,1410
2020-10-12 14:15:00,232.79,2020-10-12,1415
2020-10-12 14:20:00,233.67,2020-10-12,1420
2020-10-12 14:25:00,233.42,2020-10-12,1425
2020-10-12 14:30:00,233.99,2020-10-12,1430
2020-10-12 14:35:00,233.77,2020-10-12,1435
2020-10-12 14:40:00,233.69,2020-10-12,1440
2020-10-12 14:45:00,233.73,2020-10-12,1445
2020-10-12 14:50:00,234.4,2020-10-12,1450
2020-10-12 14:55:00,234.18,2020-10-12,1455
2020-10-12 15:00:00,234.78,2020-10-12,1500
2020-10-13 09:35:00,230.0,2020-10-13,0935
2020-10-13 09:40:00,230.7,2020-10-13,0940
2020-10-13 09:45:00,230.77,2020-10-13,0945
2020-10-13 09:50:00,231.65,2020-10-13,0950
2020-10-13 09:55:00,233.3,2020-10-13,0955
2020-10-13 10:00:00,231.39,2020-10-13,1000
2020-10-13 10:05:00,232.09,2020-10-13,1005
2020-10-13 10:10:00,231.72,2020-10-13,1010
2020-10-13 10:15:00,232.41,2020-10-13,1015
2020-10-13 10:20:00,232.86,2020-10-13,1020
2020-10-13 10:25:00,233.03,2020-10-13,1025
2020-10-13 10:30:00,232.85,2020-10-13,1030
2020-10-13 10:35:00,232.9,2020-10-13,1035
2020-10-13 10:40:00,234.6,2020-10-13,1040
2020-10-13 10:45:00,234.18,2020-10-13,1045
2020-10-13 10:50:00,233.95,2020-10-13,1050
2020-10-13 10:55:00,234.19,2020-10-13,1055
2020-10-13 11:00:00,234.85,2020-10-13,1100
2020-10-13 11:05:00,234.69,2020-10-13,1105
2020-10-13 11:10:00,235.49,2020-10-13,1110
2020-10-13 11:15:00,236.02,2020-10-13,1115
2020-10-13 11:20:00,236.6,2020-10-13,1120
2020-10-13 11:25:00,235.7,2020-10-13,1125
